transcription_unit_name operon_name promoter_name
galE galETKM galEp2
galET galETKM galEp2
galETK galETKM galEp2
glnA glnALG glnAp1
glnALG glnALG glnAp1
glpABC glpABC glpABCp
glpD glpD glpDp
ivbL-ilvBN ivbL-ilvBN-uhpABC ivbLp
ivbL ivbL-ilvBN-uhpABC ivbLp
ilvY ilvY ilvYp
kdpFABC kdpFABC kdpFp
lacZYA lacZYA lacZp1
lexA-dinF lexA-dinF lexAp
malEFG malEFG malEp
malK-lamB-malM malK-lamB-malM malKp
malPQ malPQ malPp
melR melR melRp
metA metA metAp1
nagBACD nagBAC-umpH nagBp
nrdAB-yfaE nrdAB-yfaE nrdAp
ompA ompA ompAp1
ompC ompC ompCp1
rhaSR rhaSR rhaSp
rpoH rpoH rpoHp5
sulA sulA sulAp
trpLEDCBA trpLEDCBA trpLp
trpL trpLEDCBA trpLp
tyrR ycjXF-tyrR tyrRp
uvrD uvrD uvrDp1
ahpCF ahpCF ahpCp
araE araE-ygeA araEp
araE-ygeA araE-ygeA araEp
cysB cysB cysBp
cysJIH cysJIH cysJp
cysK cysK cysKp1
fadL fadL fadLp
ilvIH ilvIH ilvIHp1
purEK purEK purEp
rpoH rpoH rpoHp4
kbl-tdh kbl-tdh kblp
tnaCAB tnaCAB tnaCp
tnaC tnaCAB tnaCp
tyrP tyrP tyrPp1
glnB glrR-glnB glnBp2
ilvC ilvC ilvCp
purA purA purAp
alkB ada-alkB alkBp
aidB aidB aidBp
slp-dctR slp-dctR slpp
appCBA-yccB appCBXA appCp
araFGH araFGH araFp
araJ araJ araJp
cydAB cydAB cydAp1
cyoABCDE cyoABCDE cyoAp
sdhCDAB-sucABCD-sdhX sdhCDAB-sucABCD-sdhX sdhCp
sucABCD sdhCDAB-sucABCD-sdhX sucAp
sucAB sdhCDAB-sucABCD-sdhX sucAp
fumC fumAC fumCp
gltA gltA gltAp1
icd icd icdAp1
mdh mdh mdhp1
carAB carAB carAp1
argD argD argDp
asnA asnA asnAp
asnC asnC-mioC-mnmG-rsmG asnCp
asnC-mioC asnC-mioC-mnmG-rsmG asnCp
